gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
EMCN,-0.1714659,-0.98594314,0.8638574395150682,1.0,0.0015747514845313474,0.0031681375876895226
RBM47,-0.17150106,-1.5408754,0.863829803700794,1.0,0.003838456743545159,0.005431093007467753
LARP6,-0.1715378,-1.3057932,0.8638009118912674,1.0,0.0015747514845313474,0.0031681375876895226
TRIM66,-0.17159212,-1.7189265,0.8637582025934029,1.0,0.008595518519733605,0.010183299389002037
OPHN1,-0.17160171,-0.5977724,0.8637506656998073,1.0,0.006102162002558971,0.007694048427245984
ASPHD1,-0.17193402,-1.7790585,0.8634893943913585,1.0,0.001345100226370526,0.0029418420457116997
ZNF730,-0.17210577,-1.067512,0.863354368194435,1.0,0.0011154489682097045,0.0027155465037338763
CPLX1,-0.17252357,-1.6850021,0.8630259257910917,1.0,0.0008857977100488829,0.0024892509617560534
ACOT1,-0.17252997,-1.6757362,0.8630209019992002,1.0,0.0008857977100488829,0.0024892509617560534
ARMCX4,-0.17296454,0.8092636,0.862679297156093,1.0,0.004953905711754864,0.006562570717356868
ANG,-0.17304443,-0.22664268,0.8626165049400618,1.0,0.002690200452741052,0.004299615297578638
PPP5D1,-0.17311314,0.7505715,0.8625625043284961,1.0,0.005183556969915685,0.006788866259334691
SPATA6,-0.17319381,-0.2359366,0.8624990858256517,1.0,0.004953905711754864,0.006562570717356868
SDK1,-0.17326012,-2.0074425,0.8624469702935957,1.0,0.0004264951937272399,0.002036659877800407
TLR6,-0.17341669,-1.44261,0.8623239046667734,1.0,0.006758308454447032,0.008372935053179452
ACKR3,-0.17348859,0.8890361,0.8622673960594565,1.0,0.00246054919458023,0.004073319755600814
CDK20,-0.17386085,-2.7015753,0.8619748183274591,1.0,0.002230897936419409,0.003847024213622992
CCL2,-0.17392157,-0.20414644,0.8619271035823733,1.0,0.009022013713460845,0.010635890472957682
ASGR1,-0.17392635,-0.747514,0.8619233366502698,1.0,0.002230897936419409,0.003847024213622992
ZNF471,-0.17415003,-2.670487,0.8617475499795538,1.0,0.002230897936419409,0.003847024213622992
EMID1,-0.17441206,-0.8471109,0.8615416371603648,1.0,0.0020012466782585872,0.0036207286716451684
PRRT1,-0.17454147,-0.7402302,0.861439939787429,1.0,0.004035300679111578,0.005657388549445576
CELSR3,-0.17467567,-1.298934,0.8613344782714594,1.0,0.0017715954200977658,0.0033944331296673455
PCP4,-0.17481548,-1.8702607,0.8612246251546168,1.0,0.0017715954200977658,0.0033944331296673455
SIGLEC10,-0.17484903,1.7865218,0.8611982608059743,1.0,0.005839703421803746,0.00746775288526816
LIMCH1,-0.17503676,-1.1197882,0.8610507488526338,1.0,0.0015419441619369443,0.0031681375876895226
UTP14C,-0.17504235,1.7527462,0.8610463549538718,1.0,0.017781568846166464,0.01946141661009278
SLC1A2,-0.17526044,-1.6744882,0.8608749962581483,1.0,0.0013122929037761228,0.0029418420457116997
PAPSS2,-0.17538425,-3.987782,0.860777707605413,1.0,0.0013122929037761228,0.0029418420457116997
ZNF541,-0.17543139,-0.12486943,0.8607406757055812,1.0,0.0013122929037761228,0.0029418420457116997
VAV2,-0.17543778,-1.3003284,0.8607356544545998,1.0,0.0033463469046291134,0.004978501923512107
C1QTNF4,-0.17569341,-1.2372656,0.8605348090338643,1.0,0.0010826416456153013,0.0027155465037338763
NAV2,-0.175977,-1.4884268,0.8603120066999682,1.0,0.00288704438830747,0.004525910839556461
SMC1B,-0.17599697,-0.5667837,0.8602963168136398,1.0,0.0008529903874544798,0.0024892509617560534
DEFB1,-0.17622945,-0.536378,0.8601136905953065,1.0,0.00288704438830747,0.004525910839556461
ARMCX1,-0.17626938,0.5980714,0.8600823122729064,1.0,0.00288704438830747,0.004525910839556461
MGAT4C,-0.17641477,-1.4490255,0.859968097045378,1.0,0.0006233391292936583,0.0022629554197782305
SH3RF1,-0.1764675,-1.5786469,0.8599266790601615,1.0,0.0026573931301466487,0.004299615297578638
EPB41L4B,-0.17677905,-2.050265,0.859681944290304,1.0,0.00039368787113283686,0.002036659877800407
DLG4,-0.17706664,-0.68636125,0.8594560472346887,1.0,0.002427741871985827,0.004073319755600814
